Match_ID,Over_Number,Ball_Number,Runs_Batter,Runs_Extras,Runs_Total,Is_Wide,Is_NoBall,Byes,LegByes,Is_Wicket,Dismissal_Kind,Substitution_Event,Batting_Team_ID,Batter_ID,Bowler_ID,Player_Out_ID
1473485,7,6,0,0,0,0,0,0,0,0,,0,2,21,32,
1473485,8,1,0,0,0,0,0,0,0,0,,0,2,20,34,
1473485,8,2,0,0,0,0,0,0,0,0,,0,2,20,34,
1473485,8,3,0,0,0,0,0,0,0,0,,0,2,20,34,
1473485,8,4,6,0,6,0,0,0,0,0,,0,2,20,34,
1473485,8,5,6,0,6,0,0,0,0,0,,0,2,20,34,
1473485,8,6,2,0,2,0,0,0,0,0,,0,2,20,34,
1473485,9,1,2,0,2,0,0,0,0,0,,0,2,21,32,
1473485,9,2,0,0,0,0,0,0,0,1,caught,0,2,21,32,21.0
1473485,9,3,1,0,1,0,0,0,0,0,,0,2,22,32,
1473485,9,4,1,0,1,0,0,0,0,0,,0,2,20,32,
1473485,9,5,1,0,1,0,0,0,0,0,,0,2,22,32,
1473485,9,6,1,0,1,0,0,0,0,0,,0,2,20,32,
1473485,10,1,2,0,2,0,0,0,0,0,,0,2,20,38,
1473485,10,2,1,0,1,0,0,0,0,0,,0,2,20,38,
1473485,10,3,4,0,4,0,0,0,0,0,,0,2,22,38,
1473485,10,4,1,0,1,0,0,0,0,0,,0,2,22,38,
1473485,10,5,1,0,1,0,0,0,0,0,,0,2,20,38,
1473485,10,6,0,0,0,0,0,0,0,0,,0,2,22,38,
1473485,11,1,1,0,1,0,0,0,0,0,,0,2,20,32,
1473485,11,2,2,0,2,0,0,0,0,0,,0,2,22,32,
1473485,11,3,1,0,1,0,0,0,0,0,,0,2,22,32,
1473485,11,4,1,0,1,0,0,0,0,0,,0,2,20,32,
1473485,11,5,1,0,1,0,0,0,0,0,,0,2,22,32,
1473485,11,6,4,0,4,0,0,0,0,0,,0,2,20,32,
1473485,12,1,0,0,0,0,0,0,0,0,,0,2,22,38,
1473485,12,2,0,0,0,0,0,0,0,0,,0,2,22,38,
1473485,12,3,1,0,1,0,0,0,0,0,,0,2,22,38,
1473485,12,4,0,0,0,0,0,0,0,0,,0,2,20,38,
1473485,12,5,0,0,0,0,0,0,0,0,,0,2,20,38,
1473485,12,6,0,0,0,0,0,0,0,0,,0,2,20,38,
1473485,13,1,1,0,1,0,0,0,0,0,,0,2,22,32,
1473485,13,2,0,0,0,0,0,0,0,0,,0,2,20,32,
1473485,13,3,1,0,1,0,0,0,0,0,,0,2,20,32,
1473485,13,4,0,1,1,1,0,0,0,0,,0,2,22,32,
1473485,13,5,0,0,0,0,0,0,0,0,,0,2,22,32,
1473485,13,6,1,0,1,0,0,0,0,0,,0,2,22,32,
1473485,13,7,1,0,1,0,0,0,0,0,,0,2,20,32,
1473485,14,1,1,0,1,0,0,0,0,0,,0,2,20,38,
1473485,14,2,4,0,4,0,0,0,0,0,,0,2,22,38,
1473485,14,3,2,0,2,0,0,0,0,0,,0,2,22,38,
1473485,14,4,0,0,0,0,0,0,0,0,,0,2,22,38,
1473485,14,5,6,0,6,0,0,0,0,0,,0,2,22,38,
1473485,14,6,4,0,4,0,0,0,0,0,,0,2,22,38,
1473485,15,1,0,1,1,0,1,0,0,0,,0,2,20,34,
1473485,15,2,1,0,1,0,0,0,0,0,,0,2,20,34,
1473485,15,3,1,0,1,0,0,0,0,0,,0,2,22,34,
1473485,15,4,1,0,1,0,0,0,0,0,,0,2,20,34,
1473485,15,5,1,0,1,0,0,0,0,0,,0,2,22,34,
1473485,15,6,1,0,1,0,0,0,0,0,,0,2,20,34,
1473485,15,7,0,1,1,1,0,0,0,0,,0,2,22,34,
1473485,15,8,2,0,2,0,0,0,0,0,,0,2,22,34,
1473485,16,1,0,0,0,0,0,0,0,0,,0,2,20,37,
1473485,16,2,4,0,4,0,0,0,0,0,,0,2,20,37,
1473485,16,3,1,0,1,0,0,0,0,0,,0,2,20,37,
1473485,16,4,1,0,1,0,0,0,0,0,,0,2,22,37,
1473485,16,5,0,0,0,0,0,0,0,1,caught,0,2,20,37,20.0
1473485,16,6,0,1,1,1,0,0,0,0,,0,2,23,37,
1473485,16,7,0,0,0,0,0,0,0,0,,0,2,23,37,
1473485,17,1,1,0,1,0,0,0,0,0,,0,2,22,34,
1473485,17,2,1,0,1,0,0,0,0,0,,0,2,23,34,
1473485,17,3,0,0,0,0,0,0,0,1,caught,0,2,22,34,22.0
1473485,17,4,0,0,0,0,0,0,0,0,,0,2,24,34,
1473485,17,5,0,0,0,0,0,0,0,0,,0,2,24,34,
1473485,17,6,4,0,4,0,0,0,0,0,,0,2,24,34,
1473485,18,1,1,0,1,0,0,0,0,0,,0,2,23,37,
1473485,18,2,0,1,1,1,0,0,0,0,,0,2,24,37,
1473485,18,3,0,1,1,1,0,0,0,0,,0,2,24,37,
1473485,18,4,1,0,1,0,0,0,0,0,,0,2,24,37,
1473485,18,5,4,0,4,0,0,0,0,0,,0,2,23,37,
1473485,18,6,4,0,4,0,0,0,0,0,,0,2,23,37,
1473485,18,7,0,1,1,1,0,0,0,0,,0,2,23,37,
1473485,18,8,0,0,0,0,0,0,0,0,,0,2,23,37,
1473485,18,9,1,0,1,0,0,0,0,0,,0,2,23,37,
1473485,19,1,6,0,6,0,0,0,0,0,,0,2,23,36,
1473485,19,2,0,1,1,1,0,0,0,0,,0,2,23,36,
1473485,19,3,0,1,1,0,0,0,1,0,,0,2,23,36,
1473485,19,4,0,0,0,0,0,0,0,1,lbw,0,2,24,36,24.0
1473485,19,5,0,0,0,0,0,0,0,1,caught,0,2,25,36,25.0
1473485,19,6,0,0,0,0,0,0,0,1,run out,0,2,26,36,23.0
1473485,19,7,1,0,1,0,0,0,0,0,,0,2,27,36,
1473485,0,1,4,0,4,0,0,0,0,0,,1,8,28,25,
1473485,0,2,0,0,0,0,0,0,0,1,caught,0,8,28,25,28.0
1473485,0,3,0,0,0,0,0,0,0,0,,0,8,29,25,
1473485,0,4,1,0,1,0,0,0,0,0,,0,8,29,25,
1473485,0,5,1,0,1,0,0,0,0,0,,0,8,30,25,
1473485,0,6,1,0,1,0,0,0,0,0,,0,8,29,25,
1473485,1,1,0,0,0,0,0,0,0,0,,0,8,29,132,
1473485,1,2,0,1,1,1,0,0,0,0,,0,8,29,132,
1473485,1,3,0,0,0,0,0,0,0,0,,0,8,29,132,
